"Date","series","OPEN","HIGH","LOW","PREV. CLOSE","ltp","close","vwap","52W H","52W L","VOLUME","VALUE","No of trades"
"17-Feb-2021","EQ","1,290.40","1,294.50","1,275.00","1,290.40","1,280.50","1281.30","1,283.76","1,392.80","509.25",4575741,"5,874,133,583.20",142040
"16-Feb-2021","EQ","1,314.00","1,319.75","1,286.00","1,309.65","1,294.50","1290.40","1,298.05","1,392.80","509.25",6896421,"8,951,918,993.70",285705
"15-Feb-2021","EQ","1,320.00","1,328.40","1,307.10","1,309.80","1,312.00","1309.65","1,317.42","1,392.80","509.25",4363513,"5,748,561,879.95",143342
"12-Feb-2021","EQ","1,305.00","1,323.75","1,301.55","1,292.65","1,312.00","1309.80","1,312.31","1,392.80","509.25",5797875,"7,608,600,802.80",142747
"11-Feb-2021","EQ","1,289.00","1,296.00","1,283.05","1,296.50","1,292.20","1292.65","1,289.54","1,392.80","509.25",4673317,"6,026,438,862.70",128045
"10-Feb-2021","EQ","1,295.80","1,304.35","1,283.60","1,305.55","1,297.00","1296.50","1,293.40","1,392.80","509.25",5951207,"7,697,265,667.60",175936
"09-Feb-2021","EQ","1,306.90","1,332.00","1,297.85","1,303.55","1,308.10","1305.55","1,317.89","1,392.80","509.25",7965949,"10,498,269,840.10",168139
"08-Feb-2021","EQ","1,285.50","1,310.00","1,275.50","1,272.10","1,310.00","1303.55","1,292.02","1,392.80","509.25",6921922,"8,943,252,910.40",198135
"05-Feb-2021","EQ","1,286.40","1,288.75","1,262.00","1,279.35","1,273.00","1272.10","1,270.01","1,392.80","509.25",5477481,"6,956,468,417.35",176339
"04-Feb-2021","EQ","1,285.00","1,293.40","1,272.05","1,284.65","1,278.50","1279.35","1,281.04","1,392.80","509.25",5032240,"6,446,486,331.45",148262
"03-Feb-2021","EQ","1,277.65","1,304.00","1,273.00","1,271.25","1,285.00","1284.65","1,289.14","1,392.80","509.25",8182968,"10,549,003,463.65",204774
"02-Feb-2021","EQ","1,280.00","1,294.40","1,263.60","1,260.90","1,275.50","1271.25","1,275.19","1,392.80","509.25",6892490,"8,789,223,156.80",168360
"01-Feb-2021","EQ","1,250.55","1,277.95","1,241.00","1,239.05","1,267.10","1260.90","1,255.60","1,392.80","509.25",8880279,"11,150,104,432.25",232672
"29-Jan-2021","EQ","1,286.25","1,291.15","1,231.00","1,276.20","1,250.00","1239.05","1,253.29","1,392.80","509.25",12183519,"15,269,437,394.85",268406
"28-Jan-2021","EQ","1,291.80","1,296.45","1,272.55","1,301.00","1,276.50","1276.20","1,283.02","1,392.80","509.25",4660690,"5,979,774,972.30",212130
"27-Jan-2021","EQ","1,319.60","1,327.55","1,285.10","1,325.10","1,300.50","1301.00","1,308.99","1,392.80","509.25",8133665,"10,646,861,260.40",285525
"25-Jan-2021","EQ","1,345.00","1,347.90","1,313.00","1,340.85","1,335.00","1325.10","1,337.58","1,392.80","509.25",6542611,"8,751,273,546.85",159466
"22-Jan-2021","EQ","1,327.00","1,356.00","1,326.55","1,339.70","1,336.00","1340.85","1,344.65","1,392.80","509.25",9646591,"12,971,261,022.25",188343
"21-Jan-2021","EQ","1,350.00","1,361.05","1,335.00","1,339.45","1,342.00","1339.70","1,344.32","1,392.80","509.25",6142421,"8,257,354,257.80",156050
"20-Jan-2021","EQ","1,320.55","1,348.40","1,320.55","1,316.65","1,338.85","1339.45","1,338.37","1,392.80","509.25",8225838,"11,009,221,845.75",195330
"19-Jan-2021","EQ","1,320.00","1,331.00","1,312.00","1,312.05","1,319.35","1316.65","1,320.27","1,392.80","509.25",5585744,"7,374,694,216.10",178275
"18-Jan-2021","EQ","1,338.00","1,340.00","1,306.00","1,344.95","1,311.00","1312.05","1,320.52","1,392.80","509.25",8861765,"11,702,148,822.35",230056